title,authors,author_affiliations,publication_year,publication_title,pdf_url,doi,access_status,conference_code
Fast Learning for Multi-Agent with Combination of Imitation Learning and Model-Based Learning for Formation Change of Transport Robots,Keisuke Azetsu; Almira Budiyanto; Nobutomo Matsunaga,,2024,2024 International Joint Conference on Neural Networks (IJCNN),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10650255,10.1109/IJCNN60899.2024.10650255,Заблокировано,unnamed
Evolution of Machine Learning Algorithms on Autonomous Robots,Manasa Mainampati; Balasubramaniyan Chandrasekaran,,2020,2020 10th Annual Computing and Communication Workshop and Conference (CCWC),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9031137,10.1109/CCWC47524.2020.9031137,Заблокировано,unnamed
Speeding-Up Action Learning in a Social Robot With Dyna-Q+: A Bioinspired Probabilistic Model Approach,Marcos Maroto-Gómez; Rodrigo González; Álvaro Castro-González; María Malfaz; Miguel Ángel Salichs,,2021,IEEE Access,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9476021,10.1109/ACCESS.2021.3095392,Открыто,unnamed
Effects of Robot Competency and Motion Legibility on Human Correction Feedback,Shuangge Wang; Anjiabei Wang; Sofiya Goncharova; Brian Scassellati; Tesca Fitzgerald,,2025,2025 20th ACM/IEEE International Conference on Human-Robot Interaction (HRI),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10974241,10.1109/HRI61500.2025.10974241,Заблокировано,unnamed
Overcoming Obstacles With a Reconfigurable Robot Using Reinforcement Learning,Liran Yehezkel; Sigal Berman; David Zarrouk,,2020,IEEE Access,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9272763,10.1109/ACCESS.2020.3040896,Открыто,unnamed
Machine Learning Prediction on User Satisfaction in Human-Robot Interaction (HRI) Tasks,Antonio Di Tecco; Antonio Frisoli; Claudio Loconsole,,2025,IEEE Access,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=11122863,10.1109/ACCESS.2025.3597994,Открыто,unnamed
Guided Model-Based Policy Search Method for Fast Motor Learning of Robots With Learned Dynamics,Xiao Huang; Xingfang Wang; Yan Zhao; Jiachen Hu; Hui Li; Zhihong Jiang,,2025,IEEE Transactions on Automation Science and Engineering,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10409121,10.1109/TASE.2024.3352580,Заблокировано,unnamed
How to Guide Humans Towards Skills Improvement in Physical Human-Robot Collaboration Using Reinforcement Learning?,Katleen Blanchet; Amel Bouzeghoub; Selma Kchir; Olivier Lebec,,2020,2020 IEEE International Conference on Systems; Man; and Cybernetics (SMC),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9283469,10.1109/SMC42975.2020.9283469,Заблокировано,unnamed
Human-Robot Mutual Learning Through Affective-Linguistic Interaction and Differential Outcomes Training,Emilia Heikkinen; Elsa Silvennoinen; Imran Khan; Zakaria Lemhaouri; Laura Cohen; Lola Cañamero; Robert Lowe,,2024,2024 12th International Conference on Affective Computing and Intelligent Interaction Workshops and Demos (ACIIW),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10970289,10.1109/ACIIW63320.2024.00060,Заблокировано,unnamed
Multi-Speed Walking Gait Generation for Bipedal Robots Based on Reinforcement Learning and Human Motion Imitation,Mengya Su; Yan Huang,,2023,2023 42nd Chinese Control Conference (CCC),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10240767,10.23919/CCC58697.2023.10240767,Заблокировано,unnamed
Who is that?! Does Changing the Robot as a Learning Companion Impact Preschoolers' Language Learning?,Nils F. Tolksdorf; Dirk Hönemann; Franziska E. Viertel; Katharina J. Rohlfing,,2022,2022 17th ACM/IEEE International Conference on Human-Robot Interaction (HRI),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9889420,10.1109/HRI53351.2022.9889420,Заблокировано,unnamed
A Multi-Robot Task Allocation Method Based on Graph Attention Network and Unsupervised Learning,Zirui Wu; Zhen Li; Dong Zhu; Qiuhan Liao; Weiran Yao,,2024,2024 IEEE International Conference on Unmanned Systems (ICUS),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10840067,10.1109/ICUS61736.2024.10840067,Заблокировано,unnamed
Correct Me If I'm Wrong: Using Non-Experts to Repair Reinforcement Learning Policies,Sanne van Waveren; Christian Pek; Jana Tumova; Iolanda Leite,,2022,2022 17th ACM/IEEE International Conference on Human-Robot Interaction (HRI),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9889604,10.1109/HRI53351.2022.9889604,Заблокировано,unnamed
Research on Robot Path Planning Based on Deep Learning Algorithm,Siyuan Chen,,2024,2024 IEEE 6th International Conference on Power; Intelligent Computing and Systems (ICPICS),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10796256,10.1109/ICPICS62053.2024.10796256,Заблокировано,unnamed
Research on Reinforcement Learning-Based Order Control Methods for Multi-Handling Robots,Qingji Gao; Wenbo Cao; Gaowei Zhang; Jiting Xue,,2025,2025 8th International Conference on Advanced Algorithms and Control Engineering (ICAACE),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=11019466,10.1109/ICAACE65325.2025.11019466,Заблокировано,unnamed
Distance-Controllable Long Jump of Quadruped Robot Based on Parameter Optimization Using Deep Reinforcement Learning,Qingyu Liu; Duo Xu; Bing Yuan; Zian Mou; Min Wang,,2023,IEEE Access,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10246264,10.1109/ACCESS.2023.3313637,Открыто,unnamed
Deep Reinforcement Learning With Action Masking for Differential-Drive Robot Navigation Using Low-Cost Sensors,Konstantinos Tsampazis; Manos Kirtas; Pavlos Tosidis; Nikolaos Passalis; Anastasios Tefas,,2023,2023 IEEE 33rd International Workshop on Machine Learning for Signal Processing (MLSP),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10285997,10.1109/MLSP55844.2023.10285997,Заблокировано,unnamed
Robot path planning based on deep reinforcement learning,Yinxin Long; Huajin He,,2020,2020 IEEE Conference on Telecommunications; Optics and Computer Science (TOCS),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9339752,10.1109/TOCS50858.2020.9339752,Заблокировано,unnamed
Model-Free Dynamic Control of a 3-DoF Delta Parallel Robot for Pick-and-Place Application based on Deep Reinforcement Learning,Hasan Jalali; Saba Samadi; Ahmad Kalhor; Mehdi Tale Masouleh,,2022,2022 10th RSI International Conference on Robotics and Mechatronics (ICRoM),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10025269,10.1109/ICRoM57054.2022.10025269,Заблокировано,unnamed
Design of Deep Learning Algorithm in the Control System of Intelligent Inspection Robot of Substation,Shuangshuang Wei; Zhenzhong Gan; Chunfeng Fan; Zhuang Huang; Zhiyong Zhu; Xueshan Wei; Kai Qin,,2023,2023 International Conference on Distributed Computing and Electrical Circuits and Electronics (ICDCECE),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10150529,10.1109/ICDCECE57866.2023.10150529,Заблокировано,unnamed
Learning Control Policy with Previous Experiences from Robot Simulator,Donghun Lee; Hyunseok Kim; Seonghyun Kim; Chan-Won Park; Jun Hee Park,,2020,2020 International Conference on Information and Communication Technology Convergence (ICTC),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9289214,10.1109/ICTC49870.2020.9289214,Заблокировано,unnamed
Reinforcement Learning based Sequential Controller for Mobile Robots with Obstacle Avoidance,Sara Mashhouri; Mohammadali Rahmati; Yasamin Borhani; Esmaeil Najafi,,2022,2022 8th International Conference on Control; Instrumentation and Automation (ICCIA),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9737166,10.1109/ICCIA54998.2022.9737166,Заблокировано,unnamed
